Movement_Date,GLN_Code,EAN_Code,Base_Unit_Code,Stock,Transit,Shipped,OOS
8/13/2020,4080398539419,4790685695486,9500350606,2804,0,19,0
8/13/2020,4080398539419,4790685265505,9505057956,640,0,280,0
8/14/2020,4080398539419,4790685000310,9500188105,57090,0,2280,0
8/14/2020,4080398539419,4790685000555,9500188108,20664,0,2520,0
8/14/2020,4080398539419,4790685000884,9500959798,11045,0,1591,0
8/14/2020,4080398539419,4790685001034,9500704337,3192,0,48,0
8/14/2020,4080398539419,4790685003515,9500704336,5688,0,1412,0
8/14/2020,4080398539419,4790685004561,9500739441,210,0,252,0
8/14/2020,4080398539419,4790685004528,9500736916,1270,0,117,0
8/14/2020,4080398539419,4790685004585,9500736917,1431,0,216,0
8/14/2020,4080398539419,4790685004622,9500736917,1152,0,45,0
8/14/2020,4080398539419,4790685005035,9500736937,45,0,0,0
8/14/2020,4080398539419,4790685006551,9500733337,960,0,48,0
8/14/2020,4080398539419,4790685006800,9500738679,1639,0,0,0
8/14/2020,4080398539419,4790685002420,9500777987,1985,0,360,0
8/14/2020,4080398539419,4790685009313,9500753387,46553,0,5805,18
8/14/2020,4080398539419,4790685010814,9500754147,3411,0,72,0
8/14/2020,4080398539419,4790685019550,9500306461,494,0,108,9
8/14/2020,4080398539419,4790685019928,9500785880,205,0,0,0
8/14/2020,4080398539419,4790685051426,9500761073,0,0,24,0
8/14/2020,4080398539419,4790685053558,9500305897,89018,0,1020,0
8/14/2020,4080398539419,4790685054163,9500318810,0,0,0,81
8/14/2020,4080398539419,4790685054484,9500395894,389,0,24,0
8/14/2020,4080398539419,4790685043992,9500765956,541,0,252,0
8/14/2020,4080398539419,4790685500508,9500188046,13711,0,1414,0
8/14/2020,4080398539419,4790685500406,9500188101,102,0,0,0
8/14/2020,4080398539419,4790685508050,9500184495,29941,0,1960,0
8/14/2020,4080398539419,4790685551453,9500188950,8069,0,1394,0
8/14/2020,4080398539419,4790685402052,9500188107,21915,0,912,0
8/14/2020,4080398539419,4790685402501,9500184411,2270,0,1300,0
8/14/2020,4080398539419,4790685430544,9500750956,138076,0,14031,0
8/14/2020,4080398539419,4790685483151,1011075037,3202,0,2718,0
8/14/2020,4080398539419,4790685483425,9500184418,9501,0,380,0
8/14/2020,4080398539419,4790685483200,9500188110,18940,0,408,0
8/14/2020,4080398539419,4790685552456,9500773538,2897,0,312,0
8/14/2020,4080398539419,4790685552500,9505073046,1301,0,2360,0
8/14/2020,4080398539419,4790685525450,9500188106,9326,0,214,0
8/14/2020,4080398539419,4790685525424,9500105764,9780,0,60,0
8/14/2020,4080398539419,4790685663501,9500167987,8078,0,0,0
8/14/2020,4080398539419,4790685695486,9500350606,2804,0,0,0
8/14/2020,4080398539419,4790685265505,9505057956,440,0,200,0
8/15/2020,4080398539419,4790685000310,9500188105,55314,0,1800,0
8/15/2020,4080398539419,4790685000555,9500188108,18913,0,1728,0
8/15/2020,4080398539419,4790685000884,9500959798,9702,0,1200,0
8/15/2020,4080398539419,4790685001034,9500704337,3192,0,0,0
8/15/2020,4080398539419,4790685003515,9500704336,5016,0,672,0
8/15/2020,4080398539419,4790685004561,9500739441,93,0,117,135
8/15/2020,4080398539419,4790685004528,9500736916,1152,0,117,0
8/15/2020,4080398539419,4790685004585,9500736917,594,0,837,0
8/15/2020,4080398539419,4790685004622,9500736917,1107,0,45,0
8/15/2020,4080398539419,4790685005035,9500736937,45,0,0,0
8/15/2020,4080398539419,4790685006551,9500733337,648,0,312,0
8/15/2020,4080398539419,4790685006800,9500738679,1639,0,0,0
8/15/2020,4080398539419,4790685002420,9500777987,1464,0,552,0
8/15/2020,4080398539419,4790685009313,9500753387,40976,0,5472,0
8/15/2020,4080398539419,4790685010814,9500754147,3331,0,72,0
8/15/2020,4080398539419,4790685019550,9500306461,333,0,153,0
8/15/2020,4080398539419,4790685019928,9500785880,205,0,0,0
8/15/2020,4080398539419,4790685053558,9500305897,88498,0,520,0
8/15/2020,4080398539419,4790685054163,9500318810,0,0,0,36
8/15/2020,4080398539419,4790685054484,9500395894,389,0,0,0
8/15/2020,4080398539419,4790685043992,9500765956,298,0,243,0
8/15/2020,4080398539419,4790685500508,9500188046,11983,0,1728,0
8/15/2020,4080398539419,4790685500406,9500188101,102,0,0,0
8/15/2020,4080398539419,4790685508050,9500184495,28481,0,1480,0
8/15/2020,4080398539419,4790685551453,9500188950,7176,0,1032,0
8/15/2020,4080398539419,4790685402052,9500188107,16422,0,5448,0
8/15/2020,4080398539419,4790685402501,9500184411,1250,0,1020,0
8/15/2020,4080398539419,4790685430544,9500750956,129339,0,8686,0
8/15/2020,4080398539419,4790685483151,1011075037,3346,0,18,0
8/15/2020,4080398539419,4790685483425,9500184418,9221,0,240,0
8/15/2020,4080398539419,4790685483200,9500188110,18724,0,216,0
8/15/2020,4080398539419,4790685552456,9500773538,2592,0,360,0
8/15/2020,4080398539419,4790685552500,9505073046,0,0,1300,720
8/15/2020,4080398539419,4790685525450,9500188106,9278,0,48,0
8/15/2020,4080398539419,4790685525424,9500105764,9760,0,20,0
8/15/2020,4080398539419,4790685663501,9500167987,8058,0,39,0
8/15/2020,4080398539419,4790685695486,9500350606,2784,0,20,0
8/15/2020,4080398539419,4790685265505,9505057956,340,0,100,0
8/16/2020,4080398539419,4790685000310,9500188105,54162,10368,1176,0
8/16/2020,4080398539419,4790685000555,9500188108,17929,4032,1008,0
8/16/2020,4080398539419,4790685000884,9500959798,13734,27648,1152,0
8/16/2020,4080398539419,4790685001034,9500704337,3192,0,0,0
8/16/2020,4080398539419,4790685003515,9500704336,4776,2856,288,0
8/16/2020,4080398539419,4790685004561,9500739441,1821,0,0,270
8/16/2020,4080398539419,4790685004528,9500736916,1512,864,72,0
8/16/2020,4080398539419,4790685004585,9500736917,1234,0,216,0
8/16/2020,4080398539419,4790685004622,9500736917,1359,0,18,0
8/16/2020,4080398539419,4790685005035,9500736937,45,0,0,0
8/16/2020,4080398539419,4790685006551,9500733337,528,720,120,0
8/16/2020,4080398539419,4790685006800,9500738679,1639,0,0,0
8/16/2020,4080398539419,4790685002420,9500777987,4632,0,288,0
8/16/2020,4080398539419,4790685009313,9500753387,36841,13392,4203,0
8/16/2020,4080398539419,4790685010814,9500754147,4114,0,81,0
8/16/2020,4080398539419,4790685019550,9500306461,684,0,162,0
8/16/2020,4080398539419,4790685019928,9500785880,205,0,0,0
8/16/2020,4080398539419,4790685053558,9500305897,88378,0,160,0
8/16/2020,4080398539419,4790685054163,9500318810,99,0,36,45
8/16/2020,4080398539419,4790685054484,9500395894,197,0,192,96
8/16/2020,4080398539419,4790685054551,9500395895,0,3672,0,0
8/16/2020,4080398539419,4790685043992,9500765956,1252,0,189,0
8/16/2020,4080398539419,4790685500508,9500188046,11335,6048,672,0
8/16/2020,4080398539419,4790685500406,9500188101,102,0,0,0
8/16/2020,4080398539419,4790685508050,9500184495,27921,4320,580,0
8/16/2020,4080398539419,4790685551453,9500188950,6816,4248,504,0
8/16/2020,4080398539419,4790685402052,9500188107,15054,0,1368,0
8/16/2020,4080398539419,4790685402501,9500184411,4670,0,600,0
8/16/2020,4080398539419,4790685430544,9500750956,129707,0,6576,0
8/16/2020,4080398539419,4790685483151,1011075037,3312,2844,27,0
8/16/2020,4080398539419,4790685483425,9500184418,9141,16000,80,0
8/16/2020,4080398539419,4790685483200,9500188110,18628,27648,96,0
8/16/2020,4080398539419,4790685552456,9500773538,4054,0,264,0
8/16/2020,4080398539419,4790685552500,9505073046,0,1980,0,60
8/16/2020,4080398539419,4790685525450,9500188106,9206,0,72,0
8/16/2020,4080398539419,4790685525424,9500105764,9740,0,20,0
8/16/2020,4080398539419,4790685663501,9500167987,8018,0,40,0
8/16/2020,4080398539419,4790685695486,9500350606,2764,0,20,0
8/16/2020,4080398539419,4790685265505,9505057956,220,0,120,0
8/17/2020,4080398539419,4790685000310,9500188105,51642,10368,2520,0
8/17/2020,4080398539419,4790685000555,9500188108,17353,4032,598,0
8/17/2020,4080398539419,4790685000884,9500959798,12966,31104,790,0
